User ID,Id,StepTotal,Calories,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes
1,6117666160,9799,2636,0,487,0,479
1,6117666160,11135,2606,0,480,0,425
1,6117666160,9411,2576,0,458,0,417
1,6117666160,9592,2560,0,461,0,479
1,6117666160,10449,2536,26,349,10,587
1,6117666160,7336,2469,0,412,0,456
1,6117666160,9543,2450,0,352,7,1077
1,6117666160,8206,2409,0,402,0,413
1,6117666160,8915,2361,0,397,0,525
1,6117666160,7623,2305,0,362,0,711
1,6117666160,6987,2275,0,343,0,1040
1,6117666160,7328,2250,0,318,0,517
1,6117666160,7150,2225,0,312,0,702
1,6117666160,4933,2044,0,236,0,1204
1,6117666160,5153,2018,0,241,0,759
1,6117666160,2997,1902,0,156,0,1279
1,6117666160,3403,1879,0,141,0,758
1,6117666160,3365,1838,0,133,0,673
1,6117666160,0,1497,0,0,0,1440
1,6117666160,0,1496,0,0,0,1440
1,6117666160,0,1496,0,0,0,1440
1,6117666160,0,1496,0,0,0,1440
1,6117666160,0,1496,0,0,0,1440
1,6117666160,4477,1248,0,197,0,125
2,6290855005,9837,3327,8,282,95,1055
2,6290855005,7851,3171,31,225,12,1172
2,6290855005,7671,2952,0,363,0,1077
2,6290855005,7142,2905,0,350,0,1090
2,6290855005,9501,2896,0,328,0,1112
2,6290855005,6744,2843,0,324,0,1116
2,6290855005,7142,2839,0,321,0,1119
2,6290855005,6116,2806,0,305,0,1135
2,6290855005,6238,2796,0,302,0,1138
2,6290855005,8301,2783,0,258,0,1182
2,6290855005,7802,2771,8,249,3,1180
2,6290855005,6885,2766,0,271,0,1169
2,6290855005,5565,2743,0,287,0,1153
2,6290855005,6781,2725,0,268,0,1172
